City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,maralal,1.0968,36.698,13.7,63,16,1.89,KE,1675480193
256,reconquista,-29.15,-59.65,21.69,59,0,3.27,AR,1675480193
257,hami,42.8,93.45,-1.8,38,100,0.87,CN,1675480004
258,hay river,60.8156,-115.7999,-22.07,100,96,2.07,CA,1675480194
259,hobart,-42.8794,147.3294,16.7,86,75,6.69,AU,1675480194
260,yoichi,43.2039,140.7703,-2.26,71,100,4.73,JP,1675480194
261,george,-33.963,22.4617,19.29,81,2,1.02,ZA,1675480195
262,san andres,12.5847,-81.7006,26.01,78,20,5.66,CO,1675480195
263,yelan-kolenovskiy,51.1632,41.151,-3.05,93,100,3.3,RU,1675480195
264,poum,-20.2333,164.0167,28.59,79,38,4.99,NC,1675480196
265,fairbanks,64.8378,-147.7164,-15.29,87,75,0.0,US,1675480196
266,kristiansund,63.1115,7.732,-1.64,69,75,2.06,NO,1675480196
267,port said,31.2565,32.2841,13.02,73,9,9.13,EG,1675480197
268,anloga,5.7947,0.8973,26.94,85,50,5.5,GH,1675480197
269,isangel,-19.55,169.2667,30.22,74,100,7.39,VU,1675479952
270,sulangan,11.1373,123.7228,26.83,78,63,5.59,PH,1675480198
271,nouadhibou,20.931,-17.0347,18.44,46,100,5.92,MR,1675480198
272,turukhansk,65.8167,87.9833,-13.64,97,98,2.2,RU,1675480198
273,kasempa,-13.4584,25.8338,16.97,97,100,1.44,ZM,1675480199
274,puerto ayora,-0.7393,-90.3518,26.42,91,76,1.34,EC,1675480199
275,angoche,-16.2325,39.9086,23.71,95,35,2.04,MZ,1675480199
276,rawah,34.4816,41.9093,7.71,62,47,4.08,IQ,1675480200
277,popondetta,-8.7537,148.2534,24.9,94,100,1.77,PG,1675480200
278,port hedland,-20.3167,118.5667,35.03,41,5,3.09,AU,1675480200
279,muroto,33.2833,134.15,10.71,59,100,3.08,JP,1675480201
280,ostrovnoy,68.0531,39.5131,-9.8,94,99,4.18,RU,1675480201
281,san quintin,30.4833,-115.95,14.4,69,27,2.65,MX,1675480202
282,nong phai,15.9903,101.0618,28.96,58,91,2.53,TH,1675480203
283,sakakah,29.9697,40.2064,7.32,60,0,3.53,SA,1675480203
284,cabo san lucas,22.8909,-109.9124,20.28,50,0,1.54,MX,1675480194
285,pevek,69.7008,170.3133,-33.62,100,31,1.34,RU,1675480204
286,pangody,65.85,74.4859,-8.99,96,100,3.6,RU,1675480204
287,barinas,8.6226,-70.2075,24.42,48,3,2.21,VE,1675480205
288,kachiry,53.0675,76.1036,-22.94,99,14,1.79,KZ,1675480205
289,bathsheba,13.2167,-59.5167,26.34,73,40,8.75,BB,1675480206
290,olga,43.7444,135.2892,-5.58,40,100,0.73,RU,1675480206
291,chokurdakh,70.6333,147.9167,-26.82,98,100,3.15,RU,1675480207
292,coihaique,-45.5752,-72.0662,19.34,63,0,1.54,CL,1675480207
293,dzhebariki-khaya,62.2167,135.8,-30.64,89,50,0.4,RU,1675480207
294,zhigansk,66.7697,123.3711,-39.99,96,71,4.98,RU,1675480208
295,susaki,33.3667,133.2833,12.81,43,86,2.16,JP,1675480208
296,kaseda,31.4167,130.3167,11.81,58,100,7.77,JP,1675480208
297,filiates,39.6011,20.3119,6.99,60,48,1.29,GR,1675480209
